event_name,user_id,app_version,event_time,device_id,client
STREAM_RECEIVED,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-02-01 09:38:43.955 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 09:44:53.132 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 09:40:30.742 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 09:30:03.612 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 12:29:38.506 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-02-01 09:06:01.984 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 10:31:06.796 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_RECEIVED,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 01:11:41.663 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_RECEIVED,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 09:45:21.885 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
MEDIA_VIEW_CHANGE,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 08:05:22.274 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_RECEIVED,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 10:57:59.731 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 01:20:01.033 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
STREAM_REQUEST,9c0bc3ee66ff78a1c29d1732b0b8bac1a3829cfb2378b242ef08cc2666f924df,3.2302.0,2023-01-31 19:48:14.194 UTC,2692debd34281a4fb39b98d56a8c1105511941eb94a5343f535fa1e29fea2ee0,web
